Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,Year
25.0,25.0,SAS,Blake Wesley,Notre Dame,4,162,2326,705,250,397,.409,.291,.632,14.4,4.4,1.5,2.5,2022
26.0,26.0,DAL,Wendell Moore Jr.,Duke,4,93,770,216,129,69,.461,.246,.815,8.3,2.3,1.4,0.7,2022
27.0,27.0,MIA,Nikola Jović,,4,121,2555,1051,464,274,.444,.362,.793,21.1,8.7,3.8,2.3,2022
28.0,28.0,GSW,Patrick Baldwin Jr.,UW-Milwaukee,3,93,826,343,188,43,.405,.373,.658,8.9,3.7,2.0,0.5,2022
29.0,29.0,MEM,TyTy Washington Jr.,Kentucky,3,58,607,194,63,68,.347,.234,.542,10.5,3.3,1.1,1.2,2022
30.0,30.0,OKC,Peyton Watson,UCLA,4,188,3765,1324,609,218,.476,.337,.679,20.0,7.0,3.2,1.2,2022
1.0,1.0,SAS,Victor Wembanyama,,3,129,4049,2952,1416,490,.473,.339,.816,31.4,22.9,11.0,3.8,2023
2.0,2.0,CHO,Brandon Miller,Alabama,3,105,3400,1915,451,287,.428,.363,.836,32.4,18.2,4.3,2.7,2023
3.0,3.0,POR,Scoot Henderson,,2,128,3524,1705,392,671,.401,.340,.793,27.5,13.3,3.1,5.2,2023
4.0,4.0,HOU,Amen Thompson,,3,147,4198,1841,1083,509,.537,.222,.700,28.6,12.5,7.4,3.5,2023
5.0,5.0,DET,Ausar Thompson,,3,136,3310,1322,786,295,.508,.209,.607,24.3,9.7,5.8,2.2,2023
6.0,6.0,ORL,Anthony Black,Arkansas,3,166,3567,1296,424,383,.444,.344,.714,21.5,7.8,2.6,2.3,2023
7.0,7.0,IND,Bilal Coulibaly,,3,131,3900,1345,584,339,.424,.308,.736,29.8,10.3,4.5,2.6,2023
8.0,8.0,WAS,Jarace Walker,Houston,3,126,2030,770,388,196,.425,.384,.736,16.1,6.1,3.1,1.6,2023
9.0,9.0,UTA,Taylor Hendricks,Central Florida,3,54,1088,350,241,40,.424,.355,.767,20.1,6.5,4.5,0.7,2023
10.0,10.0,DAL,Cason Wallace,Kentucky,3,168,4085,1285,467,337,.476,.385,.812,24.3,7.6,2.8,2.0,2023
11.0,11.0,ORL,Jett Howard,Michigan,3,92,922,380,93,61,.386,.310,.719,10.0,4.1,1.0,0.7,2023
12.0,12.0,OKC,Dereck Lively II,Duke,3,98,2242,827,685,158,.725,.000,.579,22.9,8.4,7.0,1.6,2023
13.0,13.0,TOR,Gradey Dick,Kansas,3,133,3160,1417,362,180,.415,.352,.858,23.8,10.7,2.7,1.4,2023
14.0,14.0,NOP,Jordan Hawkins,UConn,3,140,2739,1215,337,153,.373,.344,.822,19.6,8.7,2.4,1.1,2023
15.0,15.0,ATL,Kobe Bufkin,Michigan,2,27,320,134,54,44,.374,.220,.654,11.9,5.0,2.0,1.6,2023
16.0,16.0,UTA,Keyonte George,Baylor,3,159,4721,2496,533,831,.398,.337,.845,29.7,15.7,3.4,5.2,2023
17.0,17.0,LAL,Jalen Hood-Schifino,Indiana,2,36,424,140,40,45,.329,.262,.732,11.8,3.9,1.1,1.3,2023
18.0,18.0,MIA,Jaime Jaquez Jr.,UCLA,3,160,4046,1766,695,462,.487,.309,.783,25.3,11.0,4.3,2.9,2023
19.0,19.0,GSW,Brandin Podziemski,Santa Clara,3,158,4247,1673,843,550,.448,.380,.711,26.9,10.6,5.3,3.5,2023
20.0,20.0,HOU,Cam Whitmore,Villanova,3,115,1992,1216,376,94,.454,.357,.716,17.3,10.6,3.3,0.8,2023
21.0,21.0,BRK,Noah Clowney,Alabama,3,86,1874,761,322,85,.395,.335,.798,21.8,8.8,3.7,1.0,2023
22.0,22.0,BRK,Dariq Whitehead,Duke,2,22,270,117,33,15,.396,.429,.571,12.3,5.3,1.5,0.7,2023
23.0,23.0,POR,Kris Murray,Iowa,3,149,2821,763,475,168,.410,.252,.574,18.9,5.1,3.2,1.1,2023
24.0,24.0,SAC,Olivier-Maxence Prosper,Marquette,3,103,1031,371,231,68,.401,.248,.698,10.0,3.6,2.2,0.7,2023
25.0,25.0,MEM,Marcus Sasser,Houston,2,128,2162,961,194,369,.441,.378,.863,16.9,7.5,1.5,2.9,2023
26.0,26.0,IND,Ben Sheppard,Belmont,3,138,2505,698,344,171,.390,.309,.871,18.2,5.1,2.5,1.2,2023
27.0,27.0,CHO,Nick Smith Jr.,Arkansas,3,117,2188,935,206,217,.393,.372,.906,18.7,8.0,1.8,1.9,2023
28.0,28.0,UTA,Brice Sensabaugh,Ohio State,3,119,2258,1153,352,183,.438,.385,.901,19.0,9.7,3.0,1.5,2023
29.0,29.0,IND,Julian Strawther,Gonzaga,3,124,2000,848,217,134,.411,.324,.784,16.1,6.8,1.8,1.1,2023
30.0,30.0,LAC,Kobe Brown,Missouri,3,95,774,199,145,60,.436,.281,.769,8.1,2.1,1.5,0.6,2023
1.0,1.0,ATL,Zaccharie Risacher,,2,91,2234,1129,312,118,.456,.346,.698,24.5,12.4,3.4,1.3,2024
2.0,2.0,WAS,Alex Sarr,,2,82,2256,1150,563,212,.421,.314,.673,27.5,14.0,6.9,2.6,2024
3.0,3.0,HOU,Reed Sheppard,Kentucky,2,68,1053,457,122,128,.409,.386,.757,15.5,6.7,1.8,1.9,2024
4.0,4.0,SAS,Stephon Castle,UConn,2,94,2578,1415,373,430,.437,.279,.718,27.4,15.1,4.0,4.6,2024
5.0,5.0,DET,Ron Holland,,2,99,1666,661,282,115,.455,.245,.760,16.8,6.7,2.8,1.2,2024
6.0,6.0,CHO,Tidjane Salaün,,2,67,1327,375,305,79,.332,.286,.710,19.8,5.6,4.6,1.2,2024
7.0,7.0,POR,Donovan Clingan,UConn,2,86,1807,630,717,109,.525,.269,.652,21.0,7.3,8.3,1.3,2024
8.0,8.0,SAS,Rob Dillingham,Kentucky,2,65,691,291,69,130,.421,.330,.607,10.6,4.5,1.1,2.0,2024
9.0,9.0,MEM,Zach Edey,Purdue,2,72,1557,682,601,70,.584,.345,.733,21.6,9.5,8.3,1.0,2024
10.0,10.0,UTA,Cody Williams,Colorado,2,61,1201,255,123,65,.321,.242,.698,19.7,4.2,2.0,1.1,2024
11.0,11.0,CHI,Matas Buzelis,,2,97,1976,923,371,101,.457,.363,.828,20.4,9.5,3.8,1.0,2024
12.0,12.0,OKC,Nikola Topić,,,,,,,,,,,,,,,2024
13.0,13.0,SAC,Devin Carter,Providence,2,44,461,155,88,50,.351,.278,.633,10.5,3.5,2.0,1.1,2024
14.0,14.0,POR,Bub Carrington,Pitt,2,99,2886,918,399,435,.396,.352,.798,29.2,9.3,4.0,4.4,2024
15.0,15.0,MIA,Kel'el Ware,Indiana,2,83,1897,830,680,71,.547,.346,.731,22.9,10.0,8.2,0.9,2024
16.0,16.0,PHI,Jared McCain,Duke,2,31,705,395,64,69,.441,.381,.867,22.7,12.7,2.1,2.2,2024
17.0,17.0,LAL,Dalton Knecht,Tennessee,2,93,1745,805,247,74,.462,.370,.753,18.8,8.7,2.7,0.8,2024
18.0,18.0,ORL,Tristan Da Silva,Colorado,2,93,2082,751,319,139,.429,.356,.851,22.4,8.1,3.4,1.5,2024
19.0,19.0,TOR,Ja'Kobe Walter,Baylor,2,68,1339,529,186,92,.410,.364,.800,19.7,7.8,2.7,1.4,2024
20.0,20.0,CLE,Jaylon Tyson,California,2,61,820,325,161,69,.471,.412,.789,13.4,5.3,2.6,1.1,2024
21.0,21.0,NOP,Yves Missi,Baylor,2,87,2238,751,677,118,.549,.000,.615,25.7,8.6,7.8,1.4,2024
22.0,22.0,PHO,DaRon Holmes,Dayton,1,2,4,3,0,0,1.000,1.000,,2.0,1.5,0.0,0.0,2024
23.0,23.0,MIL,AJ Johnson,,2,37,677,227,64,80,.375,.261,.854,18.3,6.1,1.7,2.2,2024
24.0,24.0,NYK,Kyshawn George,Miami (FL),2,83,2276,838,380,242,.400,.345,.746,27.4,10.1,4.6,2.9,2024
25.0,25.0,NYK,Pacome Dadiet,,2,26,132,34,23,7,.297,.273,.750,5.1,1.3,0.9,0.3,2024
26.0,26.0,WAS,Dillon Jones,Weber State,1,54,552,135,121,58,.383,.254,.607,10.2,2.5,2.2,1.1,2024
27.0,27.0,MIN,Terrence Shannon Jr.,Illinois,2,41,479,183,67,41,.473,.391,.767,11.7,4.5,1.6,1.0,2024
28.0,28.0,DEN,Ryan Dunn,Virginia,2,90,1795,645,344,87,.439,.315,.537,19.9,7.2,3.8,1.0,2024
29.0,29.0,UTA,Isaiah Collier,USC,2,80,2048,696,260,497,.431,.254,.694,25.6,8.7,3.3,6.2,2024
30.0,30.0,BOS,Baylor Scheierman,Creighton,2,45,548,165,94,40,.411,.368,.769,12.2,3.7,2.1,0.9,2024
